               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.032244,            0.020825,          0.00075661,             0.76765,             0.65249,             0.69638,             0.44243,            0.035398,            0.020557,          0.00058558,            0.006073,            0.006073,            0.006073
                 121,            0.031932,            0.021019,          0.00072136,             0.75614,             0.66863,             0.69409,              0.4418,            0.035486,            0.020481,          0.00062215,             0.00604,             0.00604,             0.00604
                 122,            0.031985,            0.021012,          0.00078211,             0.76063,             0.67116,             0.69034,             0.44169,            0.035495,            0.020516,          0.00061927,            0.006007,            0.006007,            0.006007
                 123,            0.031715,            0.020988,          0.00083787,             0.73903,             0.68655,             0.68754,             0.44432,             0.03554,            0.020544,          0.00059407,            0.005974,            0.005974,            0.005974
                 124,            0.031711,            0.021092,          0.00073719,             0.76213,             0.68449,             0.68665,             0.44034,             0.03556,            0.020621,          0.00062395,            0.005941,            0.005941,            0.005941
                 125,             0.03197,            0.020957,          0.00077003,             0.75579,             0.69219,             0.69009,             0.43818,             0.03549,            0.020694,          0.00065313,            0.005908,            0.005908,            0.005908
                 126,            0.031904,            0.021036,          0.00084449,             0.75666,             0.68636,             0.69214,             0.44076,            0.035433,            0.020721,          0.00066968,            0.005875,            0.005875,            0.005875
                 127,            0.031894,            0.020907,          0.00086775,              0.7504,             0.67921,             0.69222,             0.43868,            0.035383,            0.020712,          0.00070177,            0.005842,            0.005842,            0.005842
                 128,            0.031988,            0.020684,           0.0008471,             0.75148,              0.6766,              0.6898,             0.43699,            0.035392,            0.020708,          0.00072766,            0.005809,            0.005809,            0.005809
                 129,            0.031662,            0.020756,          0.00083131,             0.74053,              0.6759,             0.68276,             0.43777,             0.03537,             0.02076,          0.00074522,            0.005776,            0.005776,            0.005776
                 130,            0.031652,            0.021021,          0.00084638,             0.73668,             0.67978,             0.68475,             0.43712,            0.035376,            0.020771,          0.00073466,            0.005743,            0.005743,            0.005743
                 131,            0.031514,            0.020752,          0.00075376,             0.73134,             0.68492,             0.68567,             0.43637,            0.035399,            0.020772,          0.00072423,             0.00571,             0.00571,             0.00571
                 132,            0.031558,             0.02044,          0.00076674,             0.73497,              0.6705,             0.68607,             0.43574,            0.035436,            0.020809,          0.00067658,            0.005677,            0.005677,            0.005677
                 133,            0.031386,            0.020262,          0.00069944,             0.75102,             0.65765,             0.68682,             0.43332,            0.035457,            0.020855,          0.00063794,            0.005644,            0.005644,            0.005644
                 134,            0.031224,            0.020258,          0.00075407,             0.76998,             0.64201,             0.68601,             0.43207,            0.035415,            0.020924,          0.00063663,            0.005611,            0.005611,            0.005611
                 135,            0.031273,            0.020519,           0.0006984,             0.76815,             0.64201,             0.68091,             0.43192,            0.035395,            0.020995,          0.00062271,            0.005578,            0.005578,            0.005578
                 136,            0.031121,            0.020379,          0.00075771,             0.76096,             0.63965,             0.67957,             0.43339,            0.035333,             0.02104,          0.00059543,            0.005545,            0.005545,            0.005545
                 137,            0.031455,            0.020158,          0.00087478,             0.76145,             0.63986,             0.68066,             0.43384,            0.035328,            0.021046,          0.00059068,            0.005512,            0.005512,            0.005512
                 138,            0.031114,            0.020457,          0.00085167,             0.76326,             0.64433,              0.6809,             0.43361,            0.035337,            0.021062,          0.00059899,            0.005479,            0.005479,            0.005479
                 139,            0.031026,            0.020146,          0.00076572,             0.76517,             0.64546,              0.6801,             0.43349,            0.035344,            0.021096,          0.00060672,            0.005446,            0.005446,            0.005446
                 140,            0.031203,             0.02047,          0.00073092,             0.76638,             0.64252,             0.68118,             0.43253,            0.035309,            0.021091,          0.00059531,            0.005413,            0.005413,            0.005413
                 141,            0.030833,            0.020244,          0.00075677,             0.76554,             0.64097,             0.68276,             0.43134,            0.035324,            0.021098,          0.00058403,             0.00538,             0.00538,             0.00538
                 142,            0.030886,            0.020516,          0.00080345,             0.77235,             0.64291,             0.68168,              0.4325,             0.03533,              0.0211,          0.00058811,            0.005347,            0.005347,            0.005347
                 143,            0.031211,            0.020533,          0.00074473,             0.77294,             0.63859,             0.68518,             0.43544,            0.035314,            0.021075,          0.00057287,            0.005314,            0.005314,            0.005314
                 144,            0.030979,            0.020184,          0.00064196,              0.7729,             0.64437,             0.68539,              0.4361,            0.035308,            0.021079,           0.0005685,            0.005281,            0.005281,            0.005281
                 145,            0.031063,             0.02049,          0.00076356,             0.76944,             0.64748,             0.68717,             0.43749,            0.035316,            0.021103,          0.00056075,            0.005248,            0.005248,            0.005248
                 146,            0.030778,            0.020233,          0.00071051,             0.77377,             0.64786,             0.68688,             0.43839,            0.035334,            0.021072,          0.00055276,            0.005215,            0.005215,            0.005215
                 147,            0.030658,            0.019736,          0.00064074,             0.77928,             0.64323,             0.68764,             0.43897,            0.035361,             0.02106,          0.00055867,            0.005182,            0.005182,            0.005182
                 148,             0.03062,            0.019753,          0.00065865,              0.7705,             0.64548,             0.68627,             0.44103,            0.035361,            0.021078,           0.0005529,            0.005149,            0.005149,            0.005149
                 149,            0.030761,            0.020062,          0.00074144,             0.76038,             0.65597,             0.68545,              0.4406,            0.035328,            0.021087,          0.00054177,            0.005116,            0.005116,            0.005116
                 150,            0.030838,            0.020093,          0.00084153,                0.76,              0.6529,              0.6851,             0.44136,            0.035339,            0.021107,          0.00053766,            0.005083,            0.005083,            0.005083
                 151,            0.030591,            0.020292,          0.00083987,             0.76067,             0.65777,             0.68564,             0.44296,            0.035336,            0.021121,           0.0005324,             0.00505,             0.00505,             0.00505
                 152,            0.030446,             0.02003,          0.00074594,             0.75426,             0.65856,             0.68508,             0.43988,            0.035317,            0.021142,          0.00053202,            0.005017,            0.005017,            0.005017
                 153,            0.030624,            0.019724,          0.00079209,             0.75349,             0.66304,             0.68416,             0.43712,            0.035306,            0.021163,          0.00052952,            0.004984,            0.004984,            0.004984
                 154,            0.030876,            0.020066,          0.00081968,             0.75373,             0.66304,             0.68591,             0.43737,            0.035313,            0.021175,          0.00052458,            0.004951,            0.004951,            0.004951
